117;2021-12-01-08:56-MUS-MAX-679;"	nix@nix.de";07.12.21;19:33
117;2021-12-01-08:56-MUS-MAX-679;"	nix@nix.de";07.12.21;19:34
117;2021-12-01-08:56-MUS-MAX-679;"	nix@nix.de";07.12.21;19:34
118;2021-12-01-08:56-MUS-MAX-679;"	nix@nix.de";07.12.21;19:36
118;2021-12-01-08:56-MUS-MAX-679;"	nix@nix.de";07.12.21;19:38
120;2021-12-01-08:56-MUS-MAX-679;"	nix@nix.de";07.12.21;19:40
120;2021-12-01-08:56-MUS-MAX-679;"	nix@nix.de";08.12.21;08:53
120;2021-12-01-08:56-MUS-MAX-679;"	nix@nix.de";08.12.21;09:12
121;2021-12-01-08:56-MUS-MAX-679;"	nix@nix.de";08.12.21;09:23
121;2021-12-01-08:56-MUS-MAX-679;"	nix@nix.de";08.12.21;09:23
